idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
295,1857444,Apelação Cível / Dívida Ativa,,,,,
296,1857445,Apelação Cível / Dívida Ativa,,,,,
297,1856344,Agravo Interno Cível / Perdas e Danos,1.0,1.0,1.0,1.0,1.0
298,1856556,Apelação Cível / Dívida Ativa,,,,,
299,1854823,Embargos de Declaração Cível / Despejo para Uso Próprio,1.0,,2.0,1.0,2.0
300,1854859,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,,,5.0,9.0,
301,1854896,Apelação Cível / Regularidade Formal,1.0,,1.0,1.0,5.0
302,1854921,Embargos de Declaração Cível / Seguro,1.0,,3.0,1.0,5.0
303,1854961,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,1.0,1.0,
304,1854967,Agravo Interno Cível / Contratos Bancários,1.0,,1.0,1.0,2.0
305,1854982,Embargos de Declaração Cível / Prestação de Serviços,1.0,3.0,2.0,1.0,1.0
306,1854990,Apelação Criminal / Corrupção passiva,1.0,6.0,1.0,1.0,1.0
307,1855017,Embargos de Declaração Criminal / Furto,4.0,,4.0,4.0,8.0
308,1855041,Apelação Cível / Dívida Ativa,,,,,
309,1855044,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,5.0,1.0,4.0
310,1855055,Apelação Cível / Dívida Ativa,,,10.0,,
311,1855056,Apelação Cível / Dívida Ativa,,,,,
312,1855057,Apelação Cível / Dívida Ativa,,,9.0,,
313,1855071,Apelação Cível / Dívida Ativa,,,,,
314,1855072,Apelação Cível / Dívida Ativa,,,8.0,,
315,1855073,Apelação Cível / Dívida Ativa,,,,,
316,1855074,Apelação Cível / Dívida Ativa,,,,,
317,1855075,Apelação Cível / Dívida Ativa,,,7.0,,
318,1855088,Apelação Cível / Dívida Ativa,,,6.0,,
319,1855089,Apelação Cível / Dívida Ativa,,,5.0,9.0,
320,1855102,Apelação Cível / Dívida Ativa,,,4.0,7.0,
321,1855103,Apelação Cível / Dívida Ativa,,,,,
322,1855128,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,2.0,1.0,1.0,1.0
323,1855159,Apelação Cível / Dívida Ativa,,,3.0,5.0,
324,1855175,Apelação Cível / Dívida Ativa,,,2.0,3.0,
325,1855176,Apelação Cível / Dívida Ativa,,,1.0,1.0,
326,1855181,Apelação Cível / Práticas Abusivas,1.0,5.0,3.0,1.0,2.0
327,1855186,Apelação Cível / Dívida Ativa,,,,,
328,1855187,Apelação Cível / Dívida Ativa,,,,,
329,1855210,Apelação Cível / Dívida Ativa,,,,,
330,1855211,Apelação Cível / Dívida Ativa,,,,,
331,1855230,Apelação Cível / Dívida Ativa,,,,,
332,1855251,Apelação Cível / Dívida Ativa,,,,,
333,1855252,Apelação Cível / Dívida Ativa,,,,,
334,1855254,Apelação Cível / Dívida Ativa,,,,,
335,1862942,Apelação Criminal / Apropriação indébita,3.0,,2.0,1.0,8.0
336,1862946,Apelação Criminal / Roubo,1.0,,5.0,1.0,5.0
337,1862948,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,5.0
338,1862957,Apelação Criminal / Roubo Majorado,1.0,6.0,3.0,1.0,2.0
339,1862965,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,6.0
340,1862973,Apelação Criminal / Roubo Majorado,,,,,
341,1862978,Apelação Criminal / Roubo Majorado,1.0,1.0,1.0,1.0,1.0
342,1862990,Apelação Criminal / Furto,1.0,,2.0,1.0,6.0
343,1862297,Apelação Criminal / Homicídio Qualificado,3.0,,,6.0,6.0
344,1862321,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,5.0
345,1862327,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,,,
